0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,condition,sampleID,targetID,status,unknown
-1352,-1381,-961,-1518,-900,-661,-1007,-288,-206,-22,-454,196,-272,191,438,388,555,298,477,800,662,1052,856,1302,1273,1422,1328,1367,1945,2097,1699,1998,1737,1908,2492,2107,2173,2478,2421,2410,2201,2891,2785,3185,3134,3023,2999,3182,2870,3368,3543,3435,3129,3997,3395,3843,4115,3906,3479,3689,4224,3873,3848,3752,4151,4534,4640,4319,4874,4796,4992,4977,5371,5596,4843,5455,5044,5437,6141,5903,6262,6416,5897,6385,6444,6442,6777,7610,6866,7492,7902,8629,7735,8147,9246,9322,9917,10287,10410,10620,11610,12538,12429,12831,13761,14923,15541,16557,17378,18696,19585,20749,22878,23734,26006,27201,30128,31189,33724,37038,39539,42871,46087,49718,53901,58395,62959,68173,74253,79837,86123,94239,101160,109384,118553,128275,138293,149906,161336,173593,186701,201220,215872,231291,247483,265306,281472,300554,319008,338944,356584,376264,392504,409555,426018,442652,457626,467660,481101,490461,503071,507958,515832,525284,525638,532112,534815,539689,542630,542872,548399,548845,550379,552955,553340,559444,558075,561066,560295,556618,ConditionA,known0,m10,absent,N
-2005,-604,-379,295,1042,1365,2327,2798,3610,3344,4288,4631,5417,6439,6696,7088,7321,8308,8963,10132,10452,10524,11623,11891,12274,13049,13208,14054,14384,14904,15185,15504,15833,16732,17188,17117,18378,18650,19069,19650,19517,20886,20406,20828,21831,22283,22942,23378,24140,23813,24914,25461,26035,26490,26740,27834,28256,29146,29509,30131,31275,31339,32251,32775,34367,34538,35516,36670,37797,38661,40107,41781,42994,44284,45378,46799,48421,50700,52311,54070,56519,58811,60472,64272,66660,69230,72017,75649,80205,83284,87942,91859,96547,102026,107217,113277,119343,126073,133246,140332,148844,157796,166637,177222,187347,198321,210491,224109,238492,252662,267857,285534,303758,323223,343915,365122,387551,411726,437427,464081,493267,523451,554568,588134,623469,658658,696984,734505,776420,815983,856810,897937,941096,984515,1026793,1068058,1109758,1146906,1186998,1221882,1252361,1286686,1311385,1331394,1353421,1371026,1384195,1403065,1414717,1419664,1423316,1440025,1446492,1453454,1464418,1468913,1472980,1483713,1483600,1497025,1494908,1501123,1503738,1505703,1507623,1511742,1516621,1515891,1528312,1526605,1526088,1532068,1531136,1533962,1536602,1536269,1548640,1541210,1544159,1546315,ConditionA,known0,m11,absent,N
10402,11518,11258,12618,12794,13560,13572,14724,15258,15855,16343,16778,17458,18403,18431,19494,19828,21205,20978,21820,22264,23101,24028,24354,24967,24750,26289,26829,26957,27669,28022,28311,29098,29723,30254,30815,30530,31715,32319,32076,32774,33719,34147,34793,35489,35810,35999,36202,36641,37377,38372,38410,39147,39857,40863,41295,41433,42783,42864,44042,44889,45063,46937,46778,48998,49038,50193,51159,52244,53414,54696,56236,57680,58691,60634,62203,64458,65968,68169,70878,72971,74943,78216,80960,83466,87759,90981,95049,98211,113164,118190,123867,130479,137360,143962,151008,158929,166698,175057,185399,195410,205497,217462,229173,241644,254792,269934,284959,302274,319063,337652,357178,376578,397657,420356,443911,468120,493578,520282,547600,576222,605820,635820,666744,697906,727543,759410,794841,825032,855785,893201,925528,956974,988452,1021678,1047941,1082930,1109853,1136133,1166997,1189011,1212161,1234866,1254591,1274848,1292873,1308274,1321305,1335981,1353452,1363680,1373832,1381332,1396164,1402244,1410590,1416088,1423520,1429173,1432875,1440135,1445209,1450871,1450735,1459065,1460623,1462190,1463196,1468885,1474408,1475117,1476166,1479648,1479478,1482709,1482915,1489385,1490472,1492008,1493684,ConditionA,known0,m12,absent,N
1115,1194,1418,2003,1668,2076,2054,1865,2331,2081,2590,2384,2754,2957,3055,3225,3411,3756,3878,3818,3992,4218,4150,4553,4645,5064,5140,4903,5092,5533,5702,6274,6387,5830,6582,6581,6904,7185,7413,7551,7797,8501,8708,8805,9234,9904,9889,10214,10735,11009,11507,11791,12648,12859,13727,14833,15289,15497,16617,17548,18701,19228,20607,21668,22629,23329,25094,26809,27700,29678,31821,33360,35272,37402,39713,42052,44903,47890,50951,54184,57870,60990,65337,69921,74204,79620,84746,90484,96993,102363,109941,117456,125269,134085,143435,153158,164092,174610,187003,200429,214399,228563,243802,259666,276409,295195,313601,334525,356389,376983,400152,423302,447983,472809,497214,522122,541301,568119,591625,609817,629544,646689,659883,676522,684523,693030,697959,702840,710111,712574,717774,722925,726200,727869,730163,733819,736883,740030,743671,746226,746091,745590,749660,751738,753966,754675,756175,759266,758260,762214,763571,764865,766353,765625,767499,769950,769549,770595,773917,773440,775213,775504,774960,778401,778237,778276,777810,779738,780714,780995,782157,781634,779811,785117,781921,783685,784910,786691,789637,788606,ConditionA,known0,m13,absent,N
177,381,535,474,787,774,748,1089,860,994,1248,1201,1518,1416,1519,1600,1570,1842,1754,1775,1910,2204,2346,2176,2315,2518,2633,2401,2602,2735,2907,2708,2901,3224,3206,3407,3413,3533,3423,3463,3846,3602,3672,3670,3993,4186,4191,4167,4144,4484,4635,4731,4852,5070,4865,5170,5346,5280,5586,5715,5799,5758,6302,6358,6501,6699,7214,7203,7399,7555,7880,8294,8586,8822,9349,9748,9992,10643,11134,11504,12080,12655,13252,14134,14897,15868,16843,17723,18843,19719,20821,22314,23545,25001,26981,28938,30846,32955,35398,38123,40728,43727,47080,50622,54511,58414,63034,67808,73199,79406,85697,92193,99644,108160,116324,125794,136050,147101,159351,172530,186488,201805,217356,234966,254188,274561,296241,318730,345741,373995,401104,432416,464405,498920,534524,573201,610616,650826,690591,732692,776535,818829,861771,904022,942305,979746,1017209,1051562,1085911,1117670,1141280,1169932,1192688,1213183,1234389,1255082,1272219,1289756,1306930,1321506,1335094,1348178,1358090,1368403,1374845,1382268,1388285,1393213,1401892,1402478,1407781,1410954,1412812,1416444,1418135,1420454,1422687,1426105,1427574,1429238,ConditionA,known0,m14,absent,N
-4583,-4490,-3694,-3222,-3038,-2599,-1954,-1858,-547,-461,-367,788,697,1651,1912,2377,2342,2763,3700,3856,4736,4802,5588,5795,6001,6700,6698,7254,7761,8278,8506,9003,9230,8825,9702,10541,9522,10510,11375,11363,11467,11591,12136,12373,13014,12129,13587,13911,13685,14106,13968,14475,14485,14804,15333,15116,16187,15549,16138,16618,16861,16770,16794,17031,17944,18485,17907,18606,18392,18983,19566,19911,20567,21458,21767,21523,22582,22735,23403,23826,24662,24233,24987,25949,26584,27587,27963,29129,29729,30852,31622,32540,33888,35021,36301,37922,39243,40767,42900,44141,47591,49427,51706,53832,56477,59944,62650,67089,70558,73321,78342,82724,87460,92830,98726,104591,111558,117930,124501,133258,141139,149380,158826,168242,178586,188894,200468,212691,224133,236052,249405,262268,276119,289698,303717,317851,330848,345027,357959,371634,383852,395977,407500,417244,427155,433996,440950,446895,452150,456975,458267,463322,464516,466988,469812,471623,474641,477271,478380,480744,482536,485092,487183,489125,490806,492988,494716,496452,497944,499474,499994,501087,502878,503722,504604,506955,507768,509826,511148,512465,ConditionA,known0,m15,absent,N
6569,7305,7556,8439,8160,9288,10264,10640,11572,12655,12947,13079,13709,15065,14909,15887,16503,17854,18183,18638,19629,20343,21062,21888,22454,23600,24267,25608,25993,26894,27773,28753,29866,30683,32537,33169,34899,35580,37107,38206,39677,40849,42717,44289,46872,48701,50678,52535,55057,57721,59630,62567,65818,70332,73041,76608,80667,85554,90138,95367,100462,106458,113550,119533,127433,134899,143368,152115,161902,172783,185179,196881,210423,224548,240311,256712,272632,291878,313674,334618,358171,382554,408187,437481,465748,498111,532356,566889,603339,643548,684142,727412,770822,817111,861656,908575,954374,1004333,1046125,1095906,1140579,1179208,1214472,1243646,1274172,1294786,1320347,1333236,1350723,1362218,1371646,1383768,1391285,1402830,1406006,1412536,1419273,1421476,1428573,1429075,1438872,1441964,1446544,1448782,1455602,1456562,1460290,1461436,1466260,1469075,1471475,1475129,1475526,1477267,1481319,1480520,1484742,1485014,1486549,1487079,1487761,1489231,1491096,1492100,1492152,1496814,1494689,1496805,1496409,1500065,1497935,1499809,1501474,1501121,1502628,1508279,1506479,1508267,1510858,1506075,1506384,1508154,1510115,1509344,1511775,1510838,1510485,1511239,1510208,1512624,1512612,1514520,1512818,1514069,1514345,1516314,1515113,1516507,1518020,1513204,ConditionA,known0,m16,present,N
-5532,-5010,-4761,-5179,-5292,-5236,-5194,-4390,-3436,-4530,-3835,-3683,-2667,-3415,-2628,-2892,-3164,-2682,-2853,-2933,-2778,-1705,-1841,-1863,-2178,-2188,-1272,-641,-1057,-819,-1306,-399,-343,-380,117,-25,200,199,526,443,1222,781,1144,1022,671,274,1605,1398,1462,1951,1625,1357,2061,2426,2304,1012,2884,1923,2681,2730,3271,3386,3403,3482,4789,4144,4126,3319,4160,4460,4811,4438,6119,6141,5758,7052,7173,7429,8304,9086,8372,9408,10363,10687,12637,12976,12049,14035,14289,18433,20023,20381,22092,24106,26080,28421,31168,33517,36494,39002,42289,45484,49621,54763,58864,63815,68245,74532,80451,87460,95122,102899,111669,121289,130683,142093,152445,164433,178141,190867,206157,221901,237351,253675,271640,290091,308818,328225,347842,366146,386109,404228,422249,439812,454675,470526,482300,493549,502593,509034,516214,521840,524285,528894,532940,536268,538596,540840,544617,547930,550156,551298,553243,555781,557630,559833,561632,562555,564568,566378,568549,569615,570647,572921,572929,573847,575864,576783,579242,578461,579467,581884,580285,581110,582535,582348,582942,584812,585745,586328,ConditionA,known0,m17,absent,N
728,757,1030,1374,1309,1577,1438,1819,1511,1602,1825,2040,2606,2193,2518,2460,2559,2730,2660,2825,2895,3267,3333,3413,3445,3484,3461,3990,3678,4153,4450,4037,4252,4143,4308,4499,4518,4782,4672,4961,5291,4892,5282,5195,5141,5366,5537,5658,6036,5623,5892,6244,5918,5805,6300,6615,6326,6440,6804,6698,7100,6781,7075,7324,6915,7251,7698,7532,7909,7723,8211,8443,8076,8659,8759,8772,9216,9507,9935,10121,10626,10809,11004,11381,11852,12217,12590,13362,13864,14202,14579,15976,16278,16894,17631,18858,19979,21228,22232,23689,24874,26445,28142,29718,31342,33997,35955,38688,41185,44228,47165,50423,54361,58804,62745,67474,72528,78211,84615,90370,97762,105283,113417,122518,131940,142501,152991,165264,177270,191057,205333,220262,236579,253230,270802,290361,308823,328441,349064,369547,390257,410430,430835,446773,466728,483264,494946,512553,519477,529825,535736,543815,545698,552736,555761,558257,559751,562948,566538,571480,571642,572628,576435,577681,579365,583539,583511,583119,586711,588298,590540,590483,592972,593187,595462,595860,597554,600052,600454,601328,ConditionA,known0,m18,absent,N
-778,-300,-423,-240,-610,-36,89,-31,210,471,412,825,573,787,721,847,1026,869,1149,1685,1070,1551,1645,1471,1441,1650,1809,1829,2392,2326,2429,2563,2583,2770,2629,2682,3074,3089,2839,3330,3575,3272,3745,3793,4067,4157,4323,4708,4892,4904,4862,5061,5185,5529,5825,6417,6587,6508,7220,7293,7638,7748,8675,8617,9353,9862,10572,10645,11517,11831,12576,13157,14198,14632,15702,16642,17474,18495,19964,20880,22245,23570,24904,26756,28215,30184,31799,34269,36373,39066,41731,44637,47782,51339,54629,58261,63097,67461,72421,77774,83297,89843,95793,102965,110724,119531,127923,137854,147973,158670,170343,182548,195984,209447,223980,239912,256344,272859,289842,307943,325797,344369,361586,376623,394980,408194,422503,434538,445767,456619,464826,470103,474689,479998,483780,486215,488143,490391,491530,494891,496658,498662,498993,501681,500256,502659,502973,505605,504217,506333,508197,509289,508498,510086,509484,510009,511879,512377,511964,509558,511909,512329,511581,512801,516406,515439,514254,514037,515919,514592,515164,515873,516260,515389,515274,514979,516895,517223,515734,516275,ConditionA,known0,m19,absent,N
