,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,18240,37
1,ConditionA,m1,21338,43
2,ConditionA,m2,19149,12
3,ConditionA,m3,20822,15
4,ConditionA,m4,19500,33
5,ConditionA,m5,20229,20
6,ConditionA,m6,50484,94
7,ConditionA,m7,17115,28
8,ConditionA,m8,20626,60
9,ConditionA,m9,20124,50
10,ConditionA,m10,33033,48
11,ConditionA,m11,37994,46
12,ConditionA,m12,71991,77
13,ConditionA,m13,25643,48
14,ConditionA,m14,19645,21
15,ConditionA,m15,39621,40
16,ConditionA,m16,39561,50
17,ConditionA,m17,25574,73
18,ConditionA,m18,15113,56
19,ConditionA,m19,21817,54
20,ConditionA,m20,18690,23
21,ConditionA,m21,27166,75
22,ConditionA,m22,23131,39
23,ConditionA,m23,42666,62
24,ConditionA,m24,25811,21
25,ConditionA,m25,38810,32
26,ConditionA,m26,25468,54
27,ConditionA,m27,15725,35
28,ConditionA,m28,16607,33
29,ConditionA,m29,31607,25
30,ConditionA,m30,20391,33
31,ConditionA,m31,19861,21
32,ConditionB,m0,23074,57
33,ConditionB,m1,16546,27
34,ConditionB,m2,21211,49
35,ConditionB,m3,40794,47
36,ConditionB,m4,15017,33
37,ConditionB,m5,18851,30
38,ConditionB,m6,43433,89
39,ConditionB,m7,15538,45
40,ConditionB,m8,28277,82
41,ConditionB,m9,25383,53
42,ConditionB,m10,22775,49
43,ConditionB,m11,27061,41
44,ConditionB,m12,43339,52
45,ConditionB,m13,22903,50
46,ConditionB,m14,16866,23
47,ConditionB,m15,32798,46
48,ConditionB,m16,-1,-1
49,ConditionB,m17,17763,74
50,ConditionB,m18,20341,72
51,ConditionB,m19,24099,52
52,ConditionB,m20,17387,16
53,ConditionB,m21,20158,64
54,ConditionB,m22,15524,33
55,ConditionB,m23,108488,69
56,ConditionB,m24,17418,12
57,ConditionB,m25,24084,31
58,ConditionB,m26,26045,47
59,ConditionB,m27,22783,36
60,ConditionB,m28,17060,42
61,ConditionB,m29,23827,24
62,ConditionB,m30,15851,34
63,ConditionB,m31,49004,89
64,ConditionC,m0,-1,-1
65,ConditionC,m1,34705,53
66,ConditionC,m2,20717,55
67,ConditionC,m3,26294,47
68,ConditionC,m4,67176,91
69,ConditionC,m5,37018,43
70,ConditionC,m6,22524,99
71,ConditionC,m7,33805,40
72,ConditionC,m8,-14375,122
73,ConditionC,m9,24601,58
74,ConditionC,m10,46593,62
75,ConditionC,m11,24423,54
76,ConditionC,m12,17814,53
77,ConditionC,m13,-1,-1
78,ConditionC,m14,20233,50
79,ConditionC,m15,17317,38
80,ConditionC,m16,-1,-1
81,ConditionC,m17,64488,71
82,ConditionC,m18,44594,77
83,ConditionC,m19,-1,-1
84,ConditionC,m20,13567,27
85,ConditionC,m21,244905,123
86,ConditionC,m22,-1,-1
87,ConditionC,m23,16156,55
88,ConditionC,m24,11666,23
89,ConditionC,m25,17171,38
90,ConditionC,m26,32612,60
91,ConditionC,m27,-8487,72
92,ConditionC,m28,36467,52
93,ConditionC,m29,15713,22
94,ConditionC,m30,-36473,60
95,ConditionC,m31,65278,119
