,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,155918,75
1,ConditionA,m1,176628,67
2,ConditionA,m2,154952,33
3,ConditionA,m3,173391,38
4,ConditionA,m4,160794,56
5,ConditionA,m5,169223,45
6,ConditionA,m6,203167,127
7,ConditionA,m7,165570,56
8,ConditionA,m8,179900,89
9,ConditionA,m9,178900,76
10,ConditionA,m10,180657,65
11,ConditionA,m11,202610,74
12,ConditionA,m12,634411,117
13,ConditionA,m13,211338,79
14,ConditionA,m14,159448,44
15,ConditionA,m15,189969,64
16,ConditionA,m16,193574,80
17,ConditionA,m17,230776,108
18,ConditionA,m18,169197,85
19,ConditionA,m19,382589,94
20,ConditionA,m20,161664,45
21,ConditionA,m21,189171,97
22,ConditionA,m22,163192,60
23,ConditionA,m23,195130,91
24,ConditionA,m24,179408,41
25,ConditionA,m25,221869,57
26,ConditionA,m26,271724,80
27,ConditionA,m27,158693,60
28,ConditionA,m28,161597,60
29,ConditionA,m29,209796,47
30,ConditionA,m30,164023,50
31,ConditionA,m31,203169,46
32,ConditionB,m0,245403,84
33,ConditionB,m1,164077,49
34,ConditionB,m2,169014,69
35,ConditionB,m3,275566,70
36,ConditionB,m4,164999,57
37,ConditionB,m5,174472,49
38,ConditionB,m6,191467,112
39,ConditionB,m7,164827,68
40,ConditionB,m8,229567,108
41,ConditionB,m9,201846,71
42,ConditionB,m10,173341,69
43,ConditionB,m11,198199,68
44,ConditionB,m12,212448,71
45,ConditionB,m13,218759,73
46,ConditionB,m14,158736,44
47,ConditionB,m15,184898,66
48,ConditionB,m16,-1,-1
49,ConditionB,m17,195608,94
50,ConditionB,m18,173164,92
51,ConditionB,m19,195699,75
52,ConditionB,m20,168026,39
53,ConditionB,m21,168045,85
54,ConditionB,m22,166948,57
55,ConditionB,m23,-1,-1
56,ConditionB,m24,168401,35
57,ConditionB,m25,174804,49
58,ConditionB,m26,-1,-1
59,ConditionB,m27,162225,55
60,ConditionB,m28,159216,63
61,ConditionB,m29,179933,44
62,ConditionB,m30,157621,53
63,ConditionB,m31,347880,107
64,ConditionC,m0,-1,-1
65,ConditionC,m1,265347,71
66,ConditionC,m2,165889,75
67,ConditionC,m3,213751,69
68,ConditionC,m4,200521,98
69,ConditionC,m5,200781,58
70,ConditionC,m6,180116,130
71,ConditionC,m7,183794,66
72,ConditionC,m8,-1,-1
73,ConditionC,m9,182102,75
74,ConditionC,m10,198586,83
75,ConditionC,m11,174106,76
76,ConditionC,m12,188103,77
77,ConditionC,m13,-1,-1
78,ConditionC,m14,156860,71
79,ConditionC,m15,167302,59
80,ConditionC,m16,-1,-1
81,ConditionC,m17,215102,88
82,ConditionC,m18,-1,-1
83,ConditionC,m19,-1,-1
84,ConditionC,m20,162682,49
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,186186,84
88,ConditionC,m24,161962,47
89,ConditionC,m25,181280,59
90,ConditionC,m26,843312,98
91,ConditionC,m27,131245,82
92,ConditionC,m28,177115,73
93,ConditionC,m29,180074,50
94,ConditionC,m30,100982,75
95,ConditionC,m31,253086,128
