,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,67426,62
1,ConditionA,m1,73965,57
2,ConditionA,m2,66909,24
3,ConditionA,m3,76909,28
4,ConditionA,m4,68562,46
5,ConditionA,m5,66885,34
6,ConditionA,m6,98252,111
7,ConditionA,m7,63517,44
8,ConditionA,m8,70752,77
9,ConditionA,m9,72457,65
10,ConditionA,m10,82965,57
11,ConditionA,m11,99378,63
12,ConditionA,m12,271022,102
13,ConditionA,m13,80845,65
14,ConditionA,m14,66366,34
15,ConditionA,m15,92248,54
16,ConditionA,m16,94282,68
17,ConditionA,m17,85681,95
18,ConditionA,m18,63569,74
19,ConditionA,m19,126215,79
20,ConditionA,m20,66872,35
21,ConditionA,m21,85678,88
22,ConditionA,m22,74278,50
23,ConditionA,m23,96638,79
24,ConditionA,m24,78945,32
25,ConditionA,m25,101525,46
26,ConditionA,m26,112244,70
27,ConditionA,m27,62294,49
28,ConditionA,m28,67771,50
29,ConditionA,m29,91320,37
30,ConditionA,m30,72923,43
31,ConditionA,m31,86343,36
32,ConditionB,m0,102044,75
33,ConditionB,m1,67677,41
34,ConditionB,m2,69883,61
35,ConditionB,m3,118643,60
36,ConditionB,m4,65571,48
37,ConditionB,m5,69843,41
38,ConditionB,m6,96539,101
39,ConditionB,m7,63936,58
40,ConditionB,m8,96411,97
41,ConditionB,m9,80130,63
42,ConditionB,m10,67337,60
43,ConditionB,m11,91326,59
44,ConditionB,m12,95591,62
45,ConditionB,m13,81058,62
46,ConditionB,m14,67847,36
47,ConditionB,m15,87437,58
48,ConditionB,m16,-1,-1
49,ConditionB,m17,73436,85
50,ConditionB,m18,75552,83
51,ConditionB,m19,83120,66
52,ConditionB,m20,62991,30
53,ConditionB,m21,69158,76
54,ConditionB,m22,68705,49
55,ConditionB,m23,-1,-1
56,ConditionB,m24,67514,26
57,ConditionB,m25,76204,41
58,ConditionB,m26,-1,-1
59,ConditionB,m27,69053,47
60,ConditionB,m28,64274,54
61,ConditionB,m29,79442,36
62,ConditionB,m30,70379,46
63,ConditionB,m31,152055,99
64,ConditionC,m0,-1,-1
65,ConditionC,m1,112949,63
66,ConditionC,m2,71836,67
67,ConditionC,m3,85817,59
68,ConditionC,m4,118725,94
69,ConditionC,m5,92560,51
70,ConditionC,m6,73351,114
71,ConditionC,m7,84018,54
72,ConditionC,m8,80736,128
73,ConditionC,m9,74337,67
74,ConditionC,m10,95630,73
75,ConditionC,m11,76045,67
76,ConditionC,m12,77322,68
77,ConditionC,m13,-1,-1
78,ConditionC,m14,65146,62
79,ConditionC,m15,68867,50
80,ConditionC,m16,-1,-1
81,ConditionC,m17,109955,79
82,ConditionC,m18,156767,102
83,ConditionC,m19,-1,-1
84,ConditionC,m20,61220,40
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,67863,73
88,ConditionC,m24,59704,38
89,ConditionC,m25,68896,50
90,ConditionC,m26,310326,86
91,ConditionC,m27,37268,77
92,ConditionC,m28,81745,63
93,ConditionC,m29,71936,41
94,ConditionC,m30,9487,69
95,ConditionC,m31,131461,122
