,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,166871,76
1,ConditionA,m1,192540,68
2,ConditionA,m2,170161,34
3,ConditionA,m3,187716,39
4,ConditionA,m4,175071,57
5,ConditionA,m5,169223,45
6,ConditionA,m6,212227,128
7,ConditionA,m7,165570,56
8,ConditionA,m8,179900,89
9,ConditionA,m9,193199,77
10,ConditionA,m10,180657,65
11,ConditionA,m11,216778,75
12,ConditionA,m12,729487,120
13,ConditionA,m13,226784,80
14,ConditionA,m14,173402,45
15,ConditionA,m15,204045,65
16,ConditionA,m16,205652,81
17,ConditionA,m17,230776,108
18,ConditionA,m18,169197,85
19,ConditionA,m19,-1,-1
20,ConditionA,m20,176264,46
21,ConditionA,m21,206551,98
22,ConditionA,m22,176892,61
23,ConditionA,m23,207690,92
24,ConditionA,m24,179408,41
25,ConditionA,m25,221869,57
26,ConditionA,m26,296982,81
27,ConditionA,m27,170143,61
28,ConditionA,m28,176286,61
29,ConditionA,m29,209796,47
30,ConditionA,m30,183023,51
31,ConditionA,m31,222224,47
32,ConditionB,m0,270814,85
33,ConditionB,m1,183222,50
34,ConditionB,m2,189076,70
35,ConditionB,m3,275566,70
36,ConditionB,m4,164999,57
37,ConditionB,m5,195837,50
38,ConditionB,m6,202564,113
39,ConditionB,m7,164827,68
40,ConditionB,m8,247516,109
41,ConditionB,m9,201846,71
42,ConditionB,m10,173341,69
43,ConditionB,m11,216672,69
44,ConditionB,m12,233517,72
45,ConditionB,m13,218759,73
46,ConditionB,m14,176226,45
47,ConditionB,m15,184898,66
48,ConditionB,m16,-1,-1
49,ConditionB,m17,195608,94
50,ConditionB,m18,188389,93
51,ConditionB,m19,213982,76
52,ConditionB,m20,168026,39
53,ConditionB,m21,184638,86
54,ConditionB,m22,187096,58
55,ConditionB,m23,-1,-1
56,ConditionB,m24,168401,35
57,ConditionB,m25,193301,50
58,ConditionB,m26,-1,-1
59,ConditionB,m27,177549,56
60,ConditionB,m28,175760,64
61,ConditionB,m29,199633,45
62,ConditionB,m30,177512,54
63,ConditionB,m31,383005,108
64,ConditionC,m0,-1,-1
65,ConditionC,m1,291289,72
66,ConditionC,m2,184266,76
67,ConditionC,m3,213751,69
68,ConditionC,m4,220438,99
69,ConditionC,m5,200781,58
70,ConditionC,m6,187422,131
71,ConditionC,m7,197243,67
72,ConditionC,m8,-1,-1
73,ConditionC,m9,203112,76
74,ConditionC,m10,198586,83
75,ConditionC,m11,191708,77
76,ConditionC,m12,207932,78
77,ConditionC,m13,-1,-1
78,ConditionC,m14,172670,72
79,ConditionC,m15,167302,59
80,ConditionC,m16,-1,-1
81,ConditionC,m17,229203,89
82,ConditionC,m18,-1,-1
83,ConditionC,m19,-1,-1
84,ConditionC,m20,162682,49
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,204457,85
88,ConditionC,m24,161962,47
89,ConditionC,m25,181280,59
90,ConditionC,m26,906721,99
91,ConditionC,m27,157590,83
92,ConditionC,m28,188039,74
93,ConditionC,m29,180074,50
94,ConditionC,m30,100982,75
95,ConditionC,m31,-1,-1
